StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
Low Sagebrush,Late:Closed,,Tr Enc:Open,Tree Encroachment,0.0002,,,,,Yes,,,
Low Sagebrush,Mid:Open,,Early:Open,Wind/Weather/Stress,0.0045,,,,,Yes,,,
Low Sagebrush,Mid:Open,,Mid:Open,Wind/Weather/Stress,0.0005,,,,,No,,,
Low Sagebrush,Mid:Open,,Sh Ann Gr:Closed,Annual Grass Invasion,0.0050,,,,,Yes,,,
Low Sagebrush,Mid:Open,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0010,,,,,Yes,,,
Low Sagebrush,Sh Ann Gr:Closed,,Ann Gr:Open,Wind/Weather/Stress,0.0050,,,,,Yes,,,
Low Sagebrush,Sh Ann Gr:Closed,,Late:Closed,Restoration Annual Grass,0.0100,,,,,Yes,,,
Low Sagebrush,Sh Ann Gr:Closed,,Mid:Open,Restoration Annual Grass Threshold,0.0100,,,,,Yes,,,
Low Sagebrush,Sh Ann Gr:Closed,,Sh Ann Gr:Closed,Wind/Weather/Stress,0.0050,,,,,No,,,
Low Sagebrush,Tr Enc:Open,,Early:Open,Replacement Fire,0.0040,,,,,Yes,,,
Low Sagebrush,Tr Enc:Open,,Late:Closed,Restoration Tree Encroached L,0.0080,,,,,Yes,,,
Low Sagebrush,Tr Enc:Open,,Late:Closed,Wind/Weather/Stress,0.0038,,,,,Yes,,,
Low Sagebrush,Tr Enc:Open,,Mid:Open,Restoration Tree Encroached L,0.0020,,,,,Yes,,,
Low Sagebrush,Tr Enc:Open,,Mid:Open,Wind/Weather/Stress,0.0013,,,,,Yes,,,
Montane Sagebrush Upland,Ann Gr Mono:Open,,Ann Gr Mono:Open,Replacement Fire,0.1000,,,,,Yes,,,
Montane Sagebrush Upland,Ann Gr Mono:Open,,Seeded:Open,Restoration Annual Grass Threshold,0.0001,,,,,Yes,,,
Montane Sagebrush Upland,Ann Gr:Open,,Ann Gr Mono:Open,Replacement Fire,0.0500,,,,,Yes,,,
Montane Sagebrush Upland,Ann Gr:Open,,Ann Gr Mono:Open,Wind/Weather/Stress,0.0130,,,,,Yes,,,
Montane Sagebrush Upland,Ann Gr:Open,,Seeded:Open,Restoration Annual Grass,0.0100,,,,,Yes,,,
Montane Sagebrush Upland,Crst Wht Gr:Open,,Ann Gr:Open,Excessive-Herbivory,0.0001,,,,,Yes,,,
Montane Sagebrush Upland,Crst Wht Gr:Open,,Crst Wht Gr:Open,Replacement Fire,0.0010,,,,,Yes,,,
Montane Sagebrush Upland,Crst Wht Gr:Open,,Early:Open,CWG-Restoration,0.0010,,,,,Yes,,,
Montane Sagebrush Upland,Early:Open,,Ann Gr:Open,Annual Grass Invasion,0.0001,,,,,Yes,,,
Montane Sagebrush Upland,Early:Open,,Ann Gr:Open,Excessive-Herbivory,0.0001,,,,,No,,,
Montane Sagebrush Upland,Early:Open,,Early:Open,Replacement Fire,0.0125,,,,,Yes,,,
Montane Sagebrush Upland,Early:Open,,Early:Open,Wind/Weather/Stress,0.0100,,,,,No,,,
Montane Sagebrush Upland,Late:Closed,,Early:Open,Replacement Fire,0.0200,,,,,Yes,,,
Montane Sagebrush Upland,Late:Closed,,Early:Open,Restoration Depleted Sage H,0.0028,,,,,Yes,,,
Montane Sagebrush Upland,Late:Closed,,Early:Open,Restoration Depleted Sage L,0.0100,,,,,Yes,,,
Montane Sagebrush Upland,Late:Closed,,Late:Open,Wind/Weather/Stress,0.0065,,,,,Yes,,,
Montane Sagebrush Upland,Late:Closed,,Mid:Open,Restoration Depleted Sage H,0.0072,,,,,Yes,,,
Montane Sagebrush Upland,Late:Closed,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0002,,,,,No,,,
Montane Sagebrush Upland,Late:Closed,,Sh Dpl:Closed,Excessive-Herbivory,0.0008,,,,,No,,,
Montane Sagebrush Upland,Late:Closed,,Sh Dpl:Closed,Wind/Weather/Stress,0.0065,,,,,Yes,,,
Montane Sagebrush Upland,Late:Open,,Early:Open,REF-Restoration L,0.0083,,,,,Yes,,,
Montane Sagebrush Upland,Late:Open,,Early:Open,Replacement Fire,0.0125,,,,,Yes,,,
Montane Sagebrush Upland,Late:Open,,Early:Open,Wind/Weather/Stress,0.0002,,,,,Yes,,,
Montane Sagebrush Upland,Late:Open,,Mid:Open,Insect/Disease,0.0130,,,,,Yes,,,
Montane Sagebrush Upland,Late:Open,,Mid:Open,REF-Restoration L,0.0017,,,,,Yes,,,
Montane Sagebrush Upland,Late:Open,,Mid:Open,Wind/Weather/Stress,0.0080,,,,,Yes,,,
Montane Sagebrush Upland,Late:Open,,Sh Ann Gr:Closed,Annual Grass Invasion,0.0025,,,,,Yes,,,
Montane Sagebrush Upland,Late:Open,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0008,,,,,No,,,
Montane Sagebrush Upland,Late:Open,,Sh Dpl:Closed,AltSuccession,0.0500,,,,,No,,,
Montane Sagebrush Upland,Late:Open,,Sh Dpl:Closed,Excessive-Herbivory,0.0003,,,,,No,,,
Montane Sagebrush Upland,Mid:Open,,Early:Open,Replacement Fire,0.0100,,,,,Yes,,,
Montane Sagebrush Upland,Mid:Open,,Early:Open,Wind/Weather/Stress,0.0130,,,,,Yes,,,
Montane Sagebrush Upland,Mid:Open,,Sh Ann Gr:Closed,Annual Grass Invasion,0.0005,,,,,Yes,,,
Montane Sagebrush Upland,Mid:Open,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0004,,,,,No,,,
Montane Sagebrush Upland,Mid:Open,,Sh Dpl:Closed,Excessive-Herbivory,0.0001,,,,,No,,,
Montane Sagebrush Upland,Seeded:Open,,Ann Gr:Open,Excessive-Herbivory,0.0005,,,,,Yes,,,
Montane Sagebrush Upland,Seeded:Open,,Early:Open,AltSuccession,0.0250,,,,,No,,,
Montane Sagebrush Upland,Seeded:Open,,Seeded:Open,Replacement Fire,0.0020,,,,,Yes,,,
Montane Sagebrush Upland,Seeded:Open,,Seeded:Open,SENN-Maintenance,0.0100,,,,,No,,,
Montane Sagebrush Upland,Sh Ann Gr:Closed,,Ann Gr Mono:Open,Replacement Fire,0.0100,,,,,Yes,,,
Montane Sagebrush Upland,Sh Ann Gr:Closed,,Crst Wht Gr:Open,CWG-SEED,0.0010,,,,,Yes,,,
